,int.rate,log.annual.inc,dtai,fico,days.with.cr.line,inq.last.6mths,delinq.2yrs,default
2803,0.1316,10.69194491,5.21,702,13770.0,0,1,0
46,0.0775,8.987196821,3.0,762,6659.958333,0,0,0
5577,0.1218,11.12726298,5.36,712,5280.0,3,0,0
705,0.1292,10.35316092,23.31,712,3780.0,1,0,1
6863,0.1114,11.05089001,13.75,722,6030.041667,0,0,0
1253,0.09699999999999999,9.798571382999999,7.13,712,1890.0,1,0,0
5904,0.0894,10.04498711,10.1,772,5640.041667,0,0,0
462,0.0951,11.28978191,0.22,767,8476.0,8,0,1
2562,0.1189,10.71441777,21.95,752,3600.0,1,0,0
110,0.1059,10.95080655,7.22,712,5519.0,1,0,0
6766,0.0859,10.645424900000002,13.86,757,5730.041667,0,0,0
1570,0.1146,10.27505111,4.34,687,2280.041667,1,0,0
1066,0.1229,11.03488966,8.25,667,1919.9583329999998,0,0,1
6351,0.16699999999999998,10.71441777,13.41,672,4650.0,0,0,0
8643,0.1229,9.740968622999999,1.62,662,539.9583332999999,1,0,0
3017,0.1474,9.210340372000001,18.12,667,1710.0,0,0,0
1120,0.1253,11.10501738,17.36,697,4229.041667,0,0,0
4426,0.0894,10.91508846,6.52,737,2819.958333,0,0,0
5910,0.0774,10.42228135,23.88,747,2490.0,2,0,0
4347,0.1183,10.54006438,16.25,772,2250.0,0,0,0
2543,0.1284,10.30881932,1.72,702,3450.0,3,0,0
8904,0.1505,10.59663473,12.42,677,3006.041667,5,0,0
7667,0.1099,10.91326863,15.5,697,4470.0,2,0,0
9203,0.1218,11.91839057,20.18,702,6900.0,1,0,1
837,0.1324,11.91839057,7.84,697,5189.958333,0,0,0
1966,0.1158,11.849397699999999,8.32,727,4890.041667,1,0,1
1643,0.08,10.93310697,7.85,747,4080.041667,0,0,0
3200,0.0768,10.54828447,22.98,772,3686.0,3,0,0
8485,0.1513,11.49272276,6.73,642,3419.958333,0,0,0
3914,0.1379,11.69524702,15.0,687,7680.0,1,2,0
4621,0.1461,10.727663,22.03,672,4679.958333,1,0,0
