School,Type,Median_SAT,Acceptance_Rate_Perc,Expenditures_per_Student,Graduation_perc,Median_SAT_STD,Accept_rate_STD,Exp_Rate_STD,Grad_Rate_STD
Amherst,Lib Arts,1315,26,"$23,972 ",93,-0.7162524043755837,1.2608040996123475,-0.8428504564723961,-0.45929848655271
Barnard,Lib Arts,1220,57,"$15,887 ",80,-0.3967821080439222,0.05395332858701473,-0.8478204162711722,0.6277985230395045
Bates,Lib Arts,1240,40,"$15,798 ",88,-1.419087056305239,-0.23001155871306356,-0.2763867239017801,-2.0899440009410317
Berkeley,University,1176,36,"$26,031 ",68,0.5616287809510622,-0.7979413333132201,-0.438273391954049,0.8995727754375581
Bowdoin,Lib Arts,1300,28,"$23,132 ",90,0.25813199943598375,-1.152897442438318,-0.2434397993930396,0.8995727754375581
Brown,University,1281,23,"$26,621 ",90,-0.15717938579517612,1.4737777650874062,-0.7828200431725724,0.08425001824339724
Bryn Mawr,Lib Arts,1255,60,"$16,962 ",84,2.1589802626093695,-0.6559588896631809,4.5515662460171615,-1.138734117547844
Cal Tech,University,1400,30,"$112,488 ",75,0.5616287809510622,0.33791821588709303,-0.9307461499923241,-0.45929848655271
Carleton,Lib Arts,1300,44,"$14,313 ",80,-0.6363848302926683,1.686751430562465,0.33430406665345025,-0.8669598651497904
Carnegie Mellon,University,1225,63,"$36,967 ",77,-0.07731181171226077,0.05395332858701473,-0.7059252719038679,-1.2746212437468707
Claremont McKenna,Lib Arts,1260,40,"$18,339 ",74,-1.0357227007072451,0.7638655468372104,-0.7815915137841108,0.08425001824339724
Colby,Lib Arts,1200,50,"$16,984 ",84,-0.10925884134542692,0.19593577223705388,-0.8494956836190742,0.22013714444242405
Colgate,Lib Arts,1258,42,"$15,768 ",85,0.05047630682040382,-0.7979413333132201,1.0881185309644463,0.8995727754375581
Columbia,University,1268,28,"$50,466 ",90,0.2421584846194007,-0.7269501114882005,0.5511395037169067,-0.05163710795562957
Cornell,University,1280,29,"$40,850 ",83,-0.556517256209753,0.05395332858701473,-0.8394440795316619,0.7636856492385312
Davidson,Lib Arts,1230,40,"$15,948 ",89,0.721363929116893,-1.0819062206132983,0.6965527095148053,1.0354599016365849
Duke,University,1310,24,"$43,454 ",91,0.21021145498623456,-1.152897442438318,-0.3101712820844716,0.7636856492385312
Georgetown,University,1278,23,"$25,426 ",89,-0.33288804877758993,2.2546812051626213,-0.6092623459299191,-1.4105083699458976
Grinnell,Lib Arts,1244,71,"$20,070 ",73,-0.796119978458499,0.19593577223705388,-0.6886141759755465,0.22013714444242405
Hamilton,Lib Arts,1215,42,"$18,649 ",85,1.6797748181118772,-1.5788447733884354,1.151946216919515,0.8995727754375581
Harvard,University,1370,17,"$51,609 ",90,0.32202605870231604,-0.01703789323800484,-0.754117129278517,0.49191139684047763
Haverford,Lib Arts,1285,39,"$17,476 ",87,0.40189363278523144,0.5508918813621517,1.062431098296615,0.35602427064145087
Johns Hopkins,University,1290,47,"$50,006 ",86,-0.15717938579517612,-0.7269501114882005,-0.4877496209620898,1.1713470278356117
Middlebury,Lib Arts,1255,29,"$22,246 ",92,1.4721191254962973,-0.7269501114882005,1.7568852562469481,0.35602427064145087
MIT,University,1357,29,"$62,442 ",86,-1.0357227007072451,1.828733874212504,-0.5561005287564937,-0.05163710795562957
Mount Holyoke,Lib Arts,1200,65,"$21,022 ",83,-0.556517256209753,0.4799006595371322,0.04219328342426134,-0.18752423415465638
Northwestern,University,1230,46,"$31,736 ",82,-0.28496750432784074,1.331795321437367,-0.5444294995661094,-0.8669598651497904
Oberlin,Lib Arts,1247,58,"$21,231 ",77,-1.5149281452047374,0.9768392123122691,-0.7152509268071893,-1.5463954961449244
Occidental,Lib Arts,1170,53,"$18,172 ",72,0.8810990772827236,-0.15902033688804398,-0.38974648110981935,-0.45929848655271
Pomona,Lib Arts,1320,37,"$24,001 ",80,1.2005693736143852,-1.649835995213455,1.225993033696786,1.3072341540346384
Princeton,University,1340,16,"$52,935 ",93,0.9929136809988052,-1.152897442438318,-0.08808667399758874,0.6277985230395045
Rice,University,1327,23,"$29,403 ",88,-1.1155902747901605,1.5447689869124257,-0.4599960252318457,0.49191139684047763
Smith,Lib Arts,1195,61,"$22,743 ",87,1.6797748181118772,-1.5788447733884354,2.0735666272453672,0.6277985230395045
Stanford,University,1370,17,"$68,113 ",88,0.721363929116893,-0.7979413333132201,-0.3485907465963588,0.6277985230395045
Swarthnore,Lib Arts,1310,28,"$24,738 ",88,1.3603045217802159,-1.4368623297383962,0.3277705239966322,0.8995727754375581
Syracuse,University,1350,19,"$36,850 ",90,-1.1155902747901605,1.4027865432623865,-0.3876803180474068,-0.8669598651497904
U Michigan,University,1195,59,"$24,038 ",77,0.5616287809510622,0.33791821588709303,0.6617071486784425,-1.4105083699458976
U of Chicago,University,1300,44,"$42,830 ",73,-1.7545308674534834,1.1188216559623083,0.6408221490745969,-1.4105083699458976
U of Rochester,University,1155,55,"$42,456 ",73,0.2421584846194007,0.05395332858701473,0.16694485859803462,0.35602427064145087
U Pennsylvania,University,1280,40,"$33,970 ",86,-0.7481994340087499,-0.23001155871306356,-0.5405205424210047,0.6277985230395045
U Va,University,1218,36,"$21,301 ",88,-1.9621865600690633,0.19593577223705388,-0.08021291746244906,-3.041153884334219
UCLA,University,1142,42,"$29,544 ",61,-2.489312549016305,-0.5849676678381615,-0.5209199144505505,-1.4105083699458976
UNC,University,1109,31,"$21,652 ",73,0.3539730883354822,0.5508918813621517,-0.71586519150142,0.08425001824339724
Vassar,Lib Arts,1287,47,"$18,161 ",84,-0.6363848302926683,0.9768392123122691,0.7198389256506439,-1.0028469913488172
Washington U (MO),University,1225,53,"$43,871 ",76,-0.49262319694342066,-0.44298522418812225,-0.8254835182991448,-0.7310727389507636
Washinton and Lee,Lib Arts,1234,33,"$16,198 ",78,-0.2370469598780915,0.9768392123122691,-0.32887843413604456,0.35602427064145087
Wellesley,Lib Arts,1250,53,"$25,091 ",86,0.40189363278523144,-0.01703789323800484,-0.7274803784468743,1.0354599016365849
Wesleyan (CT),Lib Arts,1290,39,"$17,953 ",91,1.1366753143480528,-0.5139764460131419,-0.5353272136425082,1.3072341540346384
Williams,Lib Arts,1336,32,"$21,394 ",93,1.3603045217802159,-1.5078535515634157,1.4928631222175837,1.3072341540346384
Yale,University,1350,18,"$57,714 ",93
